ITEM,HANDLE_TYPE,LEFT_CASSETE,RIGHT_CASSETE,DATE,ACTIVEFLAG
1,Cshape,STD8inch,STD8inch,2025-10-23T03:56:23Z,1
2,Cshape,DSC8inch,STD8inch,2025-10-23T03:56:23Z,1
3,Cshape,None,STD8inch,2025-10-23T03:56:23Z,1
4,Cshape,STD8inch,None,2025-10-23T03:56:23Z,1
5,Cshape,DSC8inch,None,2025-10-23T03:56:23Z,1
6,Cshape,None,None,2025-10-23T03:56:23Z,1
7,Ushape,STD6inch,STD6inch,2025-10-23T03:56:23Z,1
8,Ushape,DSC6inch,STD6inch,2025-10-23T03:56:23Z,1
9,Ushape,None,STD6inch,2025-10-23T03:56:23Z,1
10,Ushape,STD6inch,None,2025-10-23T03:56:23Z,1
11,Ushape,DSC6inch,None,2025-10-23T03:56:23Z,1
12,Ushape,None,None,2025-10-23T03:56:23Z,1
13,Universal,STD5inch,STD5inch,2025-10-23T03:56:23Z,1
14,Universal,None,STD5inch,2025-10-23T03:56:23Z,1
15,Universal,STD4inch,STD4inch,2025-10-23T03:56:23Z,1
16,Universal,None,STD4inch,2025-10-23T03:56:23Z,1
17,Universal,STD5inch,None,2025-10-23T03:56:23Z,1
18,Universal,STD4inch,None,2025-10-23T03:56:23Z,1
19,Universal,None,None,2025-10-23T03:56:23Z,1
